epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,484.633,1.0172,2.21274,1.39603,0.89293,0.49639,0.60429,0.31146,1.40525,20.0825,1.74625,0.000471522,0.000471522,0.000471522
2,966.126,0.96409,1.59231,1.3258,0.96571,0.60354,0.67684,0.53549,1.21193,23.9335,1.63915,0.000929088,0.000929088,0.000929088
3,1432.99,0.93654,1.2317,1.28232,0.51389,0.47143,0.39498,0.19831,2.14814,9.30805,2.48713,0.00136779,0.00136779,0.00136779
4,1908.38,0.95716,1.07946,1.31609,0.71909,0.6119,0.63606,0.50153,1.29679,11.5965,1.54565,0.00134412,0.00134412,0.00134412
5,2383.77,0.92176,0.96845,1.28175,0.84769,0.60952,0.6115,0.4697,1.24743,9.78604,1.54976,0.00131582,0.00131582,0.00131582
6,2858.78,0.88914,0.92811,1.258,0.9361,0.62857,0.6851,0.57887,1.02959,7.92713,1.35881,0.00128753,0.00128753,0.00128753
7,3337.4,0.88125,0.86188,1.24799,0.87822,0.54762,0.626,0.49161,1.32064,5.06264,1.53275,0.00125923,0.00125923,0.00125923
8,3813.99,0.847,0.83714,1.23895,0.88047,0.52381,0.58405,0.43606,1.356,7.69344,1.58335,0.00123094,0.00123094,0.00123094
9,4290.16,0.8221,0.83375,1.2058,0.97119,0.64202,0.78911,0.61615,1.20096,3.34401,1.48423,0.00120265,0.00120265,0.00120265
10,4759,0.81389,0.82344,1.20893,0.95539,0.61187,0.72584,0.61873,1.0267,3.36753,1.32293,0.00117435,0.00117435,0.00117435
11,5235.49,0.79572,0.77459,1.19539,0.94728,0.57857,0.6824,0.54523,1.1017,2.90529,1.411,0.00114606,0.00114606,0.00114606
12,5712.21,0.77366,0.74528,1.17774,0.98871,0.62544,0.76715,0.60801,0.94953,2.62297,1.19375,0.00111776,0.00111776,0.00111776
13,6190.33,0.7732,0.74608,1.18019,0.61928,0.56543,0.63651,0.5286,0.98728,4.52607,1.30873,0.00108947,0.00108947,0.00108947
